"rt","accuracy","exp","colour","n","observer","distractor_no"
1.060326523002,1,"2c",3,0,1,9
1.03401549399132,1,"1a",3,1,1,4
0.877026539994404,1,"2b",3,2,1,4
1.43968521399074,1,"2c",3,3,1,31
0.87841478100745,1,"2c",1,4,1,4
1.15755960301613,1,"2b",2,5,1,1
1.30634154999279,1,"1b",2,6,1,4
0.844296997995116,1,"2a",2,7,1,9
0.879531079001026,1,"2c",1,8,1,9
1.18489710599533,1,"1b",1,9,1,4
1.30187761699199,1,"2a",3,10,1,9
1.18583514902275,1,"2a",2,11,1,31
0.968860102992039,1,"2a",2,12,1,31
1.0841303570196,1,"2b",1,13,1,19
0.80774620900047,1,"2b",2,14,1,19
1.08121218599263,1,"2c",2,15,1,1
0.914120222994825,1,"1b",1,16,1,4
1.091845914023,1,"1b",1,17,1,19
0.994044735998614,1,"1b",3,18,1,4
1.08047472400358,1,"2c",1,19,1,9
1.54733543598559,1,"2b",3,20,1,9
1.24466045200825,1,"2b",1,21,1,4
1.0628722019901,1,"2b",1,22,1,19
0.90160628099693,1,"2c",1,23,1,1
1.15280061899102,1,"1a",1,24,1,4
0.898614911973709,1,"2b",2,25,1,19
0.792687608016422,1,"1b",1,26,1,1
1.01274221399217,1,"1b",3,27,1,4
1.01946404101909,1,"2b",2,28,1,19
0.979497798980447,1,"2b",2,29,1,31
1.05955741700018,1,"2a",2,30,1,19
0.80154515398317,1,"1b",1,31,1,19
1.07498210301856,1,"2b",2,32,1,9
0.762094809993869,1,"2b",2,33,1,19
0.966314437013352,1,"2b",3,34,1,31
0.976336742984131,1,"2b",3,35,1,31
1.29472402398824,1,"2b",0,36,1,0
0.941679623007076,1,"1a",3,37,1,19
0.833691363979597,1,"2c",3,38,1,9
0.9397657889931,1,"2c",2,39,1,1
0.911299191007856,1,"2a",1,40,1,19
1.05781930699595,1,"1a",1,41,1,4
1.25903412597836,1,"1a",1,42,1,19
1.22401664900826,1,"2a",1,43,1,1
0.832686751993606,1,"2c",2,44,1,1
1.04128356499132,1,"2b",3,45,1,9
0.972730745997978,1,"1a",2,46,1,1
0.786387090018252,1,"2a",1,47,1,19
0.804621129005682,1,"1a",1,48,1,9
0.744524316018214,1,"2c",1,49,1,19
0.718726548977429,1,"2b",2,50,1,31
0.794670268020127,1,"2c",1,51,1,9
1.01268790700124,1,"1b",1,52,1,9
0.901902516023256,1,"2a",1,53,1,19
0.788793097017333,1,"2c",1,54,1,1
0.767407390987501,1,"2c",3,55,1,9
0.834175093012163,1,"2b",2,56,1,31
0.740502450003987,1,"2b",1,57,1,1
0.959183819999453,1,"2a",2,58,1,31
0.909779588982929,1,"2c",2,59,1,4
1.09681953999097,1,"2b",2,60,1,31
0.85699649102753,1,"2b",1,61,1,19
0.721541313017951,1,"2a",2,62,1,9
0.757174614001997,1,"2c",0,63,1,0
0.999046165001346,1,"1b",1,64,1,31
0.678485089010792,1,"2c",2,65,1,31
1.01623155598645,0,"2a",2,66,1,31
0.829050170024857,1,"2a",1,67,1,1
1.04063358501298,1,"2b",1,68,1,19
0.969630328996573,1,"1b",3,69,1,9
0.790504595002858,1,"2c",0,70,1,0
0.714591528987512,1,"2b",2,71,1,1
0.673917623003945,1,"2a",3,72,1,1
0.8984489160066,1,"1a",3,73,1,9
0.881933742988622,1,"2b",2,74,1,9
0.72116235899739,1,"1b",3,75,1,31
0.806179562001489,1,"1b",2,76,1,31
0.962135701003717,1,"1a",1,77,1,1
0.758704491978278,1,"1b",2,78,1,1
0.771896966005443,1,"2c",3,79,1,9
0.888772706006421,1,"2b",3,80,1,4
0.744737661996624,1,"1a",3,81,1,19
0.847332970995922,1,"1b",1,82,1,31
0.654132732975995,1,"2b",2,83,1,1
0.715916757006198,1,"2a",2,84,1,31
0.806721461005509,1,"1a",3,85,1,1
0.628206471999874,1,"2a",1,86,1,9
0.674839776998851,1,"2c",3,87,1,4
0.583561935985927,1,"2b",2,88,1,4
0.802761997998459,1,"2a",3,89,1,1
1.27638654300245,1,"2a",1,90,1,19
1.09631383701344,1,"2a",3,91,1,1
0.850285669992445,1,"2c",1,92,1,19
0.681761303014355,1,"2a",1,93,1,4
1.05038817701279,1,"2b",1,94,1,4
0.793571791989962,1,"2c",3,95,1,9
0.693233336991398,1,"2a",1,96,1,9
1.32780498001375,1,"1b",1,97,1,1
0.880904794990784,1,"2a",2,98,1,19
1.32791184599046,1,"2c",2,99,1,9
0.819845881982474,1,"1a",1,100,1,31
0.877358404017286,1,"1a",3,101,1,31
0.733688589010853,1,"2a",2,102,1,9
0.657934324990492,1,"1b",1,103,1,1
0.569123156979913,1,"2c",1,104,1,31
0.667301698005758,1,"2b",1,105,1,31
0.817412892007269,1,"1b",3,106,1,1
0.852109031984583,1,"1b",1,107,1,19
0.696444353001425,1,"1a",1,108,1,1
0.786044617998414,1,"1a",2,109,1,9
1.16460972401546,1,"2b",3,110,1,9
0.84234830798232,1,"2a",0,111,1,0
0.667294926010072,1,"1b",2,112,1,19
0.801358447002713,1,"2b",3,113,1,1
0.914740228996379,1,"1a",2,114,1,9
0.735770100000082,1,"2a",3,115,1,19
0.660951963014668,1,"2b",3,116,1,1
1.27893436400336,1,"2c",2,117,1,31
1.21031997201499,1,"1a",2,118,1,19
0.980987274000654,1,"2b",3,119,1,4
0.849224633013364,1,"1a",0,120,1,0
0.761275332013611,1,"2a",1,121,1,4
0.896593099983875,1,"1a",1,122,1,19
0.781354030012153,1,"1a",1,123,1,19
0.67400306899799,1,"1b",2,124,1,1
0.866624520975165,1,"1a",1,125,1,31
0.731307874986669,1,"1a",2,126,1,1
0.775339888001326,1,"2a",1,127,1,9
3.45156364300055,1,"1a",2,128,1,31
0.726913399994373,1,"1a",0,129,1,0
0.808923645003233,1,"1b",3,130,1,1
0.679992154007778,1,"1a",3,131,1,1
0.702936248009792,1,"1b",3,132,1,4
0.662154377991101,1,"1a",2,133,1,9
1.01642696000636,1,"2c",1,134,1,31
0.6523422379978,1,"2c",3,135,1,9
0.705630263022613,1,"1a",2,136,1,9
0.785602759977337,1,"1b",1,137,1,9
0.972937688988168,1,"1b",2,138,1,31
0.879718618001789,1,"2b",3,139,1,19
0.603086913994048,1,"2c",0,140,1,0
0.605200702993898,1,"1b",1,141,1,1
0.638365121005336,1,"1a",3,142,1,4
0.87045001500519,1,"2a",2,143,1,9
0.66848475500592,1,"2c",1,144,1,1
0.785072325990768,1,"1a",1,145,1,4
0.699814850988332,1,"2c",2,146,1,9
0.697735994996037,1,"2b",2,147,1,31
0.932585283997469,1,"2c",1,148,1,9
0.633111433999147,1,"2c",3,149,1,19
0.597487772000022,1,"1b",0,150,1,0
0.891800375975436,1,"1a",1,151,1,9
0.917299662978621,1,"2b",2,152,1,1
0.589386940002441,1,"2c",1,153,1,4
0.775395083997864,1,"1a",3,154,1,4
0.874129433010239,1,"1a",3,155,1,19
0.658100518980063,1,"1b",0,156,1,0
1.05145941200317,1,"1b",1,157,1,4
0.558101550996071,1,"1a",3,158,1,31
0.740804250002839,1,"2c",1,159,1,31
0.755095030006487,1,"2a",3,160,1,4
0.752331057999982,1,"2a",1,161,1,4
0.661362490995089,1,"2b",1,162,1,9
0.690963878994808,1,"2c",3,163,1,1
0.63964730699081,1,"2c",1,164,1,1
0.868958615988959,1,"2a",1,165,1,31
0.782147357007489,1,"2a",1,166,1,4
0.87500677400385,1,"1a",3,167,1,9
2.98773078201339,1,"1b",3,168,1,19
0.976878504996421,1,"1b",1,169,1,19
0.881727266998496,1,"2c",2,170,1,4
0.671759985008975,1,"2b",3,171,1,9
0.740724827017402,1,"2a",2,172,1,31
0.826586909010075,1,"2c",2,173,1,9
0.658475870004622,1,"2b",2,174,1,1
0.580353350000223,1,"2a",0,175,1,0
0.576167157007148,1,"2a",3,176,1,19
0.850091636995785,1,"2a",1,177,1,19
0.763303398009157,1,"2a",1,178,1,19
0.776110906997928,1,"1a",3,179,1,19
0.539993547019549,1,"2a",2,180,1,1
0.854044237989001,1,"2c",2,181,1,31
0.597309144999599,1,"2a",2,182,1,4
0.583149716025218,1,"2b",3,183,1,4
0.680609603004996,1,"2c",2,184,1,31
0.638623318984173,1,"2c",2,185,1,31
0.546744272985961,1,"2b",1,186,1,19
1.00267472499399,1,"1b",3,187,1,19
0.53606866899645,1,"2b",1,188,1,4
0.632782889006194,1,"1b",1,189,1,4
0.833595879987115,1,"2b",1,190,1,4
0.658319584006676,1,"2c",2,191,1,19
0.839569111005403,1,"2c",3,192,1,1
0.86779163099709,1,"2c",1,193,1,19
0.538987366016954,1,"2a",1,194,1,1
0.648059835017193,1,"1b",0,195,1,0
0.767508249002276,1,"2a",1,196,1,9
0.720263644005172,1,"1b",1,197,1,4
0.870329100987874,1,"1a",2,198,1,19
0.709046731004491,1,"1b",1,199,1,31
1.20109905899153,1,"2b",3,200,1,4
0.771735314978287,1,"2c",2,201,1,9
0.718860294000478,1,"2a",2,202,1,31
0.777796777983895,1,"1a",2,203,1,19
0.734037704998627,1,"2a",1,204,1,31
1.01447546097916,1,"1a",1,205,1,4
0.553010232979432,1,"2a",2,206,1,19
0.619185856980039,1,"2a",3,207,1,4
