ImageFile,targ_side,colour,distNo,correctAnswer,targetType,n,breakMessage.started_mean,breakMessage.started_raw,breakMessage.stopped_raw,buttonBox_12.corr_mean,buttonBox_12.corr_raw,buttonBox_12.corr_std,buttonBox_12.keys_mean,buttonBox_12.keys_raw,buttonBox_12.keys_std,buttonBox_12.rt_mean,buttonBox_12.rt_raw,buttonBox_12.rt_std,buttonBox_12.started_raw,buttonBox_12.stopped_raw,buttonBox_13.keys_raw,buttonBox_13.rt_mean,buttonBox_13.rt_raw,buttonBox_13.rt_std,buttonBox_13.started_raw,buttonBox_13.stopped_raw,buttonBox_2.keys_raw,buttonBox_2.rt_mean,buttonBox_2.rt_raw,buttonBox_2.rt_std,buttonBox_2.started_raw,buttonBox_2.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_raw,buttonBox_9.stopped_raw,dispStimuli.started_raw,dispStimuli.stopped_raw,polygon.started_raw,polygon.stopped_raw,targetTypeInstruction.started_raw,targetTypeInstruction.stopped_raw,order
images/exp2c_trial_90_colour3_distractors4_l.png,l,3,4,1,0,1.0,403.99877645698723,403.99877645698723,,1.0,1.0,0.0,1.0,1.0,0.0,0.5849615335464478,0.5849615335464478,0.0,'403.415',,,,,,,,,,,,,,2.0,2.0,0.0,0.4417235255241394,0.4417235255241394,0.0,'402.9316',,'403.415',,'402.9316',,,,64.0
images/exp2c_trial_197_colour2_distractors1_r.png,r,2,1,3,0,1.0,404.83197059698284,404.83197059698284,,1.0,1.0,0.0,3.0,3.0,0.0,0.5055627822875977,0.5055627822875977,0.0,'404.33194',,,,,,,,,,,,,,2.0,2.0,0.0,0.2717255651950836,0.2717255651950836,0.0,'404.01514',,'404.33194',,'404.01514',,,,65.0
images/exp1a_trial_180_colour2_distractors1_l.png,l,2,1,1,0,1.0,405.815524993994,405.815524993994,,1.0,1.0,0.0,1.0,1.0,0.0,0.7067481279373169,0.7067481279373169,0.0,'405.11542',,,,,,,,,,,,,,2.0,2.0,0.0,0.22092434763908386,0.22092434763908386,0.0,'404.8504',,'405.11542',,'404.8504',,,,66.0
images/exp2a_trial_100_colour1_distractors31_r.png,r,1,31,3,0,1.0,407.54877127698853,407.54877127698853,,1.0,1.0,0.0,3.0,3.0,0.0,1.3504540920257568,1.3504540920257568,0.0,'406.1984',,,,,,,,,,,,,,2.0,2.0,0.0,0.323047935962677,0.323047935962677,0.0,'405.83167',,'406.1984',,'405.83167',,,,67.0
images/exp1a_trial_152_colour2_distractors31_l.png,l,2,31,1,0,1.0,409.73206715298,409.73206715298,,1.0,1.0,0.0,1.0,1.0,0.0,0.7507507801055908,0.7507507801055908,0.0,'408.98145',,,,,,,,,,,,,,2.0,2.0,0.0,1.3710521459579468,1.3710521459579468,0.0,'407.56506',,'408.98145',,'407.56506',,,,68.0
images/exp2b_trial_38_colour2_distractors4_r.png,r,2,4,3,0,1.0,410.86542901897917,410.86542901897917,,1.0,1.0,0.0,3.0,3.0,0.0,0.4565114676952362,0.4565114676952362,0.0,'410.4152',,,,,,,,,,,,,,2.0,2.0,0.0,0.6208032369613647,0.6208032369613647,0.0,'409.74847',,'410.4152',,'409.74847',,,,69.0
images/exp2a_trial_53_colour2_distractors4_l.png,l,2,4,1,0,1.0,411.98194817000183,411.98194817000183,,1.0,1.0,0.0,1.0,1.0,0.0,0.5851276516914368,0.5851276516914368,0.0,'411.3987',,,,,,,,,,,,,,2.0,2.0,0.0,0.4733544588088989,0.4733544588088989,0.0,'410.882',,'411.3987',,'410.882',,,,70.0
images/exp2c_trial_7_colour2_distractors9_r.png,r,2,9,3,0,1.0,412.9990130009886,412.9990130009886,,1.0,1.0,0.0,3.0,3.0,0.0,0.5194795727729797,0.5194795727729797,0.0,'412.4846',,,,,,,,,,,,,,2.0,2.0,0.0,0.4401174485683441,0.4401174485683441,0.0,'411.99857',,'412.4846',,'411.99857',,,,71.0
images/exp2b_trial_143_colour1_distractors1_l.png,l,1,1,1,0,1.0,413.9489094969816,413.9489094969816,,1.0,1.0,0.0,1.0,1.0,0.0,0.5057615041732788,0.5057615041732788,0.0,'413.45093',,,,,,,,,,,,,,2.0,2.0,0.0,0.3897148072719574,0.3897148072719574,0.0,'413.01703',,'413.45093',,'413.01703',,,,72.0
images/exp2a_trial_282_colour3_distractors4_l.png,l,3,4,1,0,1.0,414.9991352300043,414.9991352300043,,1.0,1.0,0.0,1.0,1.0,0.0,0.605802059173584,0.605802059173584,0.0,'414.40094',,,,,,,,,,,,,,2.0,2.0,0.0,0.3874630630016327,0.3874630630016327,0.0,'413.9652',,'414.40094',,'413.9652',,,,73.0
