ImageFile,targ_side,correctAnswer,n,buttonBox_10.corr_mean,buttonBox_10.corr_raw,buttonBox_10.corr_std,buttonBox_10.keys_mean,buttonBox_10.keys_raw,buttonBox_10.keys_std,buttonBox_10.rt_mean,buttonBox_10.rt_raw,buttonBox_10.rt_std,buttonBox_10.started_mean,buttonBox_10.started_raw,buttonBox_10.started_std,buttonBox_10.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_mean,buttonBox_9.started_raw,buttonBox_9.started_std,buttonBox_9.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6869381070137024,0.6869381070137024,0.0,344.1903076171875,344.1903076171875,0.0,,2.0,2.0,0.0,0.8147452473640442,0.8147452473640442,0.0,343.3251647949219,343.3251647949219,0.0,,344.1903076171875,344.1903076171875,0.0,,343.3251647949219,343.3251647949219,0.0,,344.87384033203125,344.87384033203125,0.0,,15.0
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7179831266403198,0.7179831266403198,0.0,302.9914855957031,302.9914855957031,0.0,,2.0,2.0,0.0,1.4303869009017944,1.4303869009017944,0.0,301.50750732421875,301.50750732421875,0.0,,302.9914855957031,302.9914855957031,0.0,,301.50750732421875,301.50750732421875,0.0,,303.7057800292969,303.7057800292969,0.0,,3.0
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,2.967691659927368,2.967691659927368,0.0,289.39111328125,289.39111328125,0.0,,2.0,2.0,0.0,4.846908092498779,4.846908092498779,0.0,284.49078369140625,284.49078369140625,0.0,,289.39111328125,289.39111328125,0.0,,284.49078369140625,284.49078369140625,0.0,,292.3557434082031,292.3557434082031,0.0,,1.0
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,2.098703384399414,2.098703384399414,0.0,297.4073181152344,297.4073181152344,0.0,,2.0,2.0,0.0,2.9969286918640137,2.9969286918640137,0.0,294.3577880859375,294.3577880859375,0.0,,297.4073181152344,297.4073181152344,0.0,,294.3577880859375,294.3577880859375,0.0,,299.5060119628906,299.5060119628906,0.0,,2.0
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7180765867233276,0.7180765867233276,0.0,322.6414794921875,322.6414794921875,0.0,,2.0,2.0,0.0,0.849261462688446,0.849261462688446,0.0,321.7419128417969,321.7419128417969,0.0,,322.6414794921875,322.6414794921875,0.0,,321.7419128417969,321.7419128417969,0.0,,323.3563537597656,323.3563537597656,0.0,,9.0
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6669257283210754,0.6669257283210754,0.0,319.0730285644531,319.0730285644531,0.0,,2.0,2.0,0.0,0.6004658937454224,0.6004658937454224,0.0,318.4245910644531,318.4245910644531,0.0,,319.0730285644531,319.0730285644531,0.0,,318.4245910644531,318.4245910644531,0.0,,319.73974609375,319.73974609375,0.0,,8.0
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5666027665138245,0.5666027665138245,0.0,333.90673828125,333.90673828125,0.0,,2.0,2.0,0.0,1.1471859216690063,1.1471859216690063,0.0,332.7083740234375,332.7083740234375,0.0,,333.90673828125,333.90673828125,0.0,,332.7083740234375,332.7083740234375,0.0,,334.47332763671875,334.47332763671875,0.0,,12.0
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.70179682970047,0.70179682970047,0.0,309.5750732421875,309.5750732421875,0.0,,2.0,2.0,0.0,0.646926999092102,0.646926999092102,0.0,308.8747863769531,308.8747863769531,0.0,,309.5750732421875,309.5750732421875,0.0,,308.8747863769531,308.8747863769531,0.0,,310.27227783203125,310.27227783203125,0.0,,5.0
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.74824458360672,0.74824458360672,0.0,312.7724914550781,312.7724914550781,0.0,,2.0,2.0,0.0,0.447134792804718,0.447134792804718,0.0,312.2742919921875,312.2742919921875,0.0,,312.7724914550781,312.7724914550781,0.0,,312.2742919921875,312.2742919921875,0.0,,313.5230712890625,313.5230712890625,0.0,,6.0
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.60260009765625,0.60260009765625,0.0,337.25860595703125,337.25860595703125,0.0,,2.0,2.0,0.0,0.7324801683425903,0.7324801683425903,0.0,336.4755554199219,336.4755554199219,0.0,,337.25860595703125,337.25860595703125,0.0,,336.4755554199219,336.4755554199219,0.0,,337.8568420410156,337.8568420410156,0.0,,13.0
Practice arrays/exp1a_trial_23_colour2_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7677912712097168,0.7677912712097168,0.0,340.5588684082031,340.5588684082031,0.0,,2.0,2.0,0.0,0.647212564945221,0.647212564945221,0.0,339.8586730957031,339.8586730957031,0.0,,340.5588684082031,340.5588684082031,0.0,,339.8586730957031,339.8586730957031,0.0,,341.3235778808594,341.3235778808594,0.0,,14.0
Practice arrays/exp1a_trial_25_colour3_distractors1_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7725724577903748,0.7725724577903748,0.0,326.458984375,326.458984375,0.0,,2.0,2.0,0.0,1.0473679304122925,1.0473679304122925,0.0,325.35870361328125,325.35870361328125,0.0,,326.458984375,326.458984375,0.0,,325.35870361328125,325.35870361328125,0.0,,327.2231140136719,327.2231140136719,0.0,,10.0
Practice arrays/exp1a_trial_27_colour3_distractors9_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.45212000608444214,0.45212000608444214,0.0,306.4249267578125,306.4249267578125,0.0,,2.0,2.0,0.0,0.6639060378074646,0.6639060378074646,0.0,305.7080383300781,305.7080383300781,0.0,,306.4249267578125,306.4249267578125,0.0,,305.7080383300781,305.7080383300781,0.0,,306.87255859375,306.87255859375,0.0,,4.0
Practice arrays/exp1a_trial_16_colour1_distractors4_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,15.422284126281738,15.422284126281738,0.0,267.071533203125,267.071533203125,0.0,,2.0,2.0,0.0,12.450434684753418,12.450434684753418,0.0,254.5733184814453,254.5733184814453,0.0,,267.071533203125,267.071533203125,0.0,'272.0717',254.5733184814453,254.5733184814453,0.0,,282.4917907714844,282.4917907714844,0.0,,0.0
Practice arrays/exp1a_trial_30_colour0_distractors0_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6519274711608887,0.6519274711608887,0.0,330.0562438964844,330.0562438964844,0.0,,2.0,2.0,0.0,0.78028404712677,0.78028404712677,0.0,329.2249755859375,329.2249755859375,0.0,,330.0562438964844,330.0562438964844,0.0,,329.2249755859375,329.2249755859375,0.0,,330.70654296875,330.70654296875,0.0,,11.0
Practice arrays/exp1a_trial_31_colour0_distractors0_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.44005903601646423,0.44005903601646423,0.0,315.9891662597656,315.9891662597656,0.0,,2.0,2.0,0.0,0.412957102060318,0.412957102060318,0.0,315.52496337890625,315.52496337890625,0.0,,315.9891662597656,315.9891662597656,0.0,,315.52496337890625,315.52496337890625,0.0,,316.4223327636719,316.4223327636719,0.0,,7.0

extraInfo
participant,34
session,001
date,2023_Jan_30_1122
expName,searchDisc5
psychopyVersion,2021.2.3
frameRate,60.01791990129429
