ImageFile,targ_side,correctAnswer,n,buttonBox_10.corr_mean,buttonBox_10.corr_raw,buttonBox_10.corr_std,buttonBox_10.keys_mean,buttonBox_10.keys_raw,buttonBox_10.keys_std,buttonBox_10.rt_mean,buttonBox_10.rt_raw,buttonBox_10.rt_std,buttonBox_10.started_mean,buttonBox_10.started_raw,buttonBox_10.started_std,buttonBox_10.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_mean,buttonBox_9.started_raw,buttonBox_9.started_std,buttonBox_9.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6712400913238525,0.6712400913238525,0.0,176.7215576171875,176.7215576171875,0.0,,2.0,2.0,0.0,1.6972774267196655,1.6972774267196655,0.0,174.97283935546875,174.97283935546875,0.0,,176.7215576171875,176.7215576171875,0.0,,174.97283935546875,174.97283935546875,0.0,,177.387939453125,177.387939453125,0.0,,4.0
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7863429188728333,0.7863429188728333,0.0,180.00445556640625,180.00445556640625,0.0,,2.0,2.0,0.0,0.563946008682251,0.563946008682251,0.0,179.39024353027344,179.39024353027344,0.0,,180.00445556640625,180.00445556640625,0.0,,179.39024353027344,179.39024353027344,0.0,,180.7880401611328,180.7880401611328,0.0,,5.0
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5359430313110352,0.5359430313110352,0.0,186.7716827392578,186.7716827392578,0.0,,2.0,2.0,0.0,0.6138125061988831,0.6138125061988831,0.0,186.10647583007812,186.10647583007812,0.0,,186.7716827392578,186.7716827392578,0.0,,186.10647583007812,186.10647583007812,0.0,,187.30502319335938,187.30502319335938,0.0,,7.0
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.9146722555160522,0.9146722555160522,0.0,172.0546112060547,172.0546112060547,0.0,,2.0,2.0,0.0,0.5330691337585449,0.5330691337585449,0.0,171.47323608398438,171.47323608398438,0.0,,172.0546112060547,172.0546112060547,0.0,,171.47323608398438,171.47323608398438,0.0,,172.9712677001953,172.9712677001953,0.0,,3.0
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6545285582542419,0.6545285582542419,0.0,193.15528869628906,193.15528869628906,0.0,,2.0,2.0,0.0,0.5471033453941345,0.5471033453941345,0.0,192.55679321289062,192.55679321289062,0.0,,193.15528869628906,193.15528869628906,0.0,,192.55679321289062,192.55679321289062,0.0,,193.80494689941406,193.80494689941406,0.0,,9.0
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.9694263339042664,0.9694263339042664,0.0,158.6563720703125,158.6563720703125,0.0,,2.0,2.0,0.0,4.597951889038086,4.597951889038086,0.0,154.00408935546875,154.00408935546875,0.0,,158.6563720703125,158.6563720703125,0.0,,154.00408935546875,154.00408935546875,0.0,,159.62001037597656,159.62001037597656,0.0,,0.0
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8977980613708496,0.8977980613708496,0.0,168.57373046875,168.57373046875,0.0,,2.0,2.0,0.0,1.099164366722107,1.099164366722107,0.0,167.42276000976562,167.42276000976562,0.0,,168.57373046875,168.57373046875,0.0,,167.42276000976562,167.42276000976562,0.0,,169.4711151123047,169.4711151123047,0.0,,2.0
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6486823558807373,0.6486823558807373,0.0,164.7711944580078,164.7711944580078,0.0,,2.0,2.0,0.0,3.0990610122680664,3.0990610122680664,0.0,161.62269592285156,161.62269592285156,0.0,,164.7711944580078,164.7711944580078,0.0,,161.62269592285156,161.62269592285156,0.0,,165.4210968017578,165.4210968017578,0.0,,1.0
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8650115132331848,0.8650115132331848,0.0,211.78907775878906,211.78907775878906,0.0,,2.0,2.0,0.0,0.382709801197052,0.382709801197052,0.0,211.35760498046875,211.35760498046875,0.0,,211.78907775878906,211.78907775878906,0.0,,211.35760498046875,211.35760498046875,0.0,,212.65562438964844,212.65562438964844,0.0,,15.0
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.606175422668457,0.606175422668457,0.0,202.75546264648438,202.75546264648438,0.0,,2.0,2.0,0.0,0.4138512909412384,0.4138512909412384,0.0,202.29019165039062,202.29019165039062,0.0,,202.75546264648438,202.75546264648438,0.0,,202.29019165039062,202.29019165039062,0.0,,203.3555145263672,203.3555145263672,0.0,,12.0
Practice arrays/exp1a_trial_23_colour2_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6167036294937134,0.6167036294937134,0.0,205.82235717773438,205.82235717773438,0.0,,2.0,2.0,0.0,0.4135739505290985,0.4135739505290985,0.0,205.3578338623047,205.3578338623047,0.0,,205.82235717773438,205.82235717773438,0.0,,205.3578338623047,205.3578338623047,0.0,,206.43870544433594,206.43870544433594,0.0,,13.0
