ImageFile,targ_side,correctAnswer,n,buttonBox_10.corr_mean,buttonBox_10.corr_raw,buttonBox_10.corr_std,buttonBox_10.keys_mean,buttonBox_10.keys_raw,buttonBox_10.keys_std,buttonBox_10.rt_mean,buttonBox_10.rt_raw,buttonBox_10.rt_std,buttonBox_10.started_mean,buttonBox_10.started_raw,buttonBox_10.started_std,buttonBox_10.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_mean,buttonBox_9.started_raw,buttonBox_9.started_std,buttonBox_9.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5900190472602844,0.5900190472602844,0.0,216.21104431152344,216.21104431152344,0.0,,2.0,2.0,0.0,0.4302076995372772,0.4302076995372772,0.0,215.72950744628906,215.72950744628906,0.0,,216.21104431152344,216.21104431152344,0.0,,215.72950744628906,215.72950744628906,0.0,,216.7943115234375,216.7943115234375,0.0,,10.0
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0216702222824097,1.0216702222824097,0.0,192.3104248046875,192.3104248046875,0.0,,2.0,2.0,0.0,0.7635652422904968,0.7635652422904968,0.0,191.49517822265625,191.49517822265625,0.0,,192.3104248046875,192.3104248046875,0.0,,191.49517822265625,191.49517822265625,0.0,,193.32699584960938,193.32699584960938,0.0,,3.0
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5842598080635071,0.5842598080635071,0.0,207.146240234375,207.146240234375,0.0,,2.0,2.0,0.0,0.7160016298294067,0.7160016298294067,0.0,206.3794708251953,206.3794708251953,0.0,,207.146240234375,207.146240234375,0.0,,206.3794708251953,206.3794708251953,0.0,,207.72743225097656,207.72743225097656,0.0,,7.0
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6993870735168457,0.6993870735168457,0.0,188.7949676513672,188.7949676513672,0.0,,2.0,2.0,0.0,0.8306143283843994,0.8306143283843994,0.0,187.91221618652344,187.91221618652344,0.0,,188.7949676513672,188.7949676513672,0.0,,187.91221618652344,187.91221618652344,0.0,,189.493408203125,189.493408203125,0.0,,2.0
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7559652924537659,0.7559652924537659,0.0,229.24673461914062,229.24673461914062,0.0,,2.0,2.0,0.0,0.4806581139564514,0.4806581139564514,0.0,228.71324157714844,228.71324157714844,0.0,,229.24673461914062,229.24673461914062,0.0,,228.71324157714844,228.71324157714844,0.0,,229.9945068359375,229.9945068359375,0.0,,14.0
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,2.071019411087036,2.071019411087036,0.0,183.8433837890625,183.8433837890625,0.0,,2.0,2.0,0.0,10.1138916015625,10.1138916015625,0.0,173.6783447265625,173.6783447265625,0.0,,183.8433837890625,183.8433837890625,0.0,,173.6783447265625,173.6783447265625,0.0,,185.91000366210938,185.91000366210938,0.0,,1.0
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6677183508872986,0.6677183508872986,0.0,232.59458923339844,232.59458923339844,0.0,,2.0,2.0,0.0,0.5473147034645081,0.5473147034645081,0.0,231.99636840820312,231.99636840820312,0.0,,232.59458923339844,232.59458923339844,0.0,,231.99636840820312,231.99636840820312,0.0,,233.2613067626953,233.2613067626953,0.0,,15.0
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6205798983573914,0.6205798983573914,0.0,222.9967041015625,222.9967041015625,0.0,,2.0,2.0,0.0,0.4991641342639923,0.4991641342639923,0.0,222.4460906982422,222.4460906982422,0.0,,222.9967041015625,222.9967041015625,0.0,,222.4460906982422,222.4460906982422,0.0,,223.6110382080078,223.6110382080078,0.0,,12.0
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0164680480957031,1.0164680480957031,0.0,219.4276123046875,219.4276123046875,0.0,,2.0,2.0,0.0,0.5822382569313049,0.5822382569313049,0.0,218.7963104248047,218.7963104248047,0.0,,219.4276123046875,219.4276123046875,0.0,,218.7963104248047,218.7963104248047,0.0,,220.44439697265625,220.44439697265625,0.0,,11.0
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.721454381942749,0.721454381942749,0.0,203.66073608398438,203.66073608398438,0.0,,2.0,2.0,0.0,0.5804837346076965,0.5804837346076965,0.0,203.02931213378906,203.02931213378906,0.0,,203.66073608398438,203.66073608398438,0.0,,203.02931213378906,203.02931213378906,0.0,,204.37725830078125,204.37725830078125,0.0,,6.0
