ImageFile,targ_side,correctAnswer,n,buttonBox_10.corr_mean,buttonBox_10.corr_raw,buttonBox_10.corr_std,buttonBox_10.keys_mean,buttonBox_10.keys_raw,buttonBox_10.keys_std,buttonBox_10.rt_mean,buttonBox_10.rt_raw,buttonBox_10.rt_std,buttonBox_10.started_mean,buttonBox_10.started_raw,buttonBox_10.started_std,buttonBox_10.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_mean,buttonBox_9.started_raw,buttonBox_9.started_std,buttonBox_9.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.9725393652915955,0.9725393652915955,0.0,161.42120361328125,161.42120361328125,0.0,,2.0,2.0,0.0,0.5469132661819458,0.5469132661819458,0.0,160.82305908203125,160.82305908203125,0.0,,161.42120361328125,161.42120361328125,0.0,,160.82305908203125,160.82305908203125,0.0,,162.3883514404297,162.3883514404297,0.0,,4.0
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,3.223116159439087,3.223116159439087,0.0,144.62330627441406,144.62330627441406,0.0,,2.0,2.0,0.0,2.3697774410247803,2.3697774410247803,0.0,142.18704223632812,142.18704223632812,0.0,,144.62330627441406,144.62330627441406,0.0,,142.18704223632812,142.18704223632812,0.0,,147.83755493164062,147.83755493164062,0.0,,0.0
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.9706576466560364,0.9706576466560364,0.0,179.0573272705078,179.0573272705078,0.0,,2.0,2.0,0.0,0.8471322059631348,0.8471322059631348,0.0,178.15748596191406,178.15748596191406,0.0,,179.0573272705078,179.0573272705078,0.0,,178.15748596191406,178.15748596191406,0.0,,180.02218627929688,180.02218627929688,0.0,,9.0
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6515904068946838,0.6515904068946838,0.0,154.5716094970703,154.5716094970703,0.0,,2.0,2.0,0.0,0.5637054443359375,0.5637054443359375,0.0,153.95654296875,153.95654296875,0.0,,154.5716094970703,154.5716094970703,0.0,,153.95654296875,153.95654296875,0.0,,155.22140502929688,155.22140502929688,0.0,,2.0
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7040059566497803,0.7040059566497803,0.0,198.1914520263672,198.1914520263672,0.0,,2.0,2.0,0.0,0.34922364354133606,0.34922364354133606,0.0,197.79100036621094,197.79100036621094,0.0,,198.1914520263672,198.1914520263672,0.0,,197.79100036621094,197.79100036621094,0.0,,198.8893280029297,198.8893280029297,0.0,,14.0
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5704775452613831,0.5704775452613831,0.0,168.7073974609375,168.7073974609375,0.0,,2.0,2.0,0.0,0.4993540048599243,0.4993540048599243,0.0,168.15728759765625,168.15728759765625,0.0,,168.7073974609375,168.7073974609375,0.0,,168.15728759765625,168.15728759765625,0.0,,169.27178955078125,169.27178955078125,0.0,,6.0
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.5842260122299194,0.5842260122299194,0.0,172.22218322753906,172.22218322753906,0.0,,2.0,2.0,0.0,0.8992677927017212,0.8992677927017212,0.0,171.27354431152344,171.27354431152344,0.0,,172.22218322753906,172.22218322753906,0.0,,171.27354431152344,171.27354431152344,0.0,,172.80514526367188,172.80514526367188,0.0,,7.0
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6315129399299622,0.6315129399299622,0.0,195.15768432617188,195.15768432617188,0.0,,2.0,2.0,0.0,0.7159644961357117,0.7159644961357117,0.0,194.39134216308594,194.39134216308594,0.0,,195.15768432617188,195.15768432617188,0.0,,194.39134216308594,194.39134216308594,0.0,,195.78921508789062,195.78921508789062,0.0,,13.0
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7184007167816162,0.7184007167816162,0.0,175.43824768066406,175.43824768066406,0.0,,2.0,2.0,0.0,0.5810105800628662,0.5810105800628662,0.0,174.80734252929688,174.80734252929688,0.0,,175.43824768066406,175.43824768066406,0.0,,174.80734252929688,174.80734252929688,0.0,,176.15538024902344,176.15538024902344,0.0,,8.0
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7071262001991272,0.7071262001991272,0.0,165.45733642578125,165.45733642578125,0.0,,2.0,2.0,0.0,1.0144364833831787,1.0144364833831787,0.0,164.390380859375,164.390380859375,0.0,,165.45733642578125,165.45733642578125,0.0,,164.390380859375,164.390380859375,0.0,,166.15516662597656,166.15516662597656,0.0,,5.0
