ImageFile,targ_side,correctAnswer,n,buttonBox_10.corr_mean,buttonBox_10.corr_raw,buttonBox_10.corr_std,buttonBox_10.keys_mean,buttonBox_10.keys_raw,buttonBox_10.keys_std,buttonBox_10.rt_mean,buttonBox_10.rt_raw,buttonBox_10.rt_std,buttonBox_10.started_mean,buttonBox_10.started_raw,buttonBox_10.started_std,buttonBox_10.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_mean,buttonBox_9.started_raw,buttonBox_9.started_std,buttonBox_9.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,6.019975662231445,6.019975662231445,0.0,208.46060180664062,208.46060180664062,0.0,,2.0,2.0,0.0,8.870767593383789,8.870767593383789,0.0,199.54368591308594,199.54368591308594,0.0,,208.46060180664062,208.46060180664062,0.0,'213.46107',199.54368591308594,199.54368591308594,0.0,,214.48008728027344,214.48008728027344,0.0,,0.0
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.9009602665901184,0.9009602665901184,0.0,241.56381225585938,241.56381225585938,0.0,,2.0,2.0,0.0,1.465662956237793,1.465662956237793,0.0,240.04708862304688,240.04708862304688,0.0,,241.56381225585938,241.56381225585938,0.0,,240.04708862304688,240.04708862304688,0.0,,242.46163940429688,242.46163940429688,0.0,,6.0
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.4002044200897217,1.4002044200897217,0.0,217.72999572753906,217.72999572753906,0.0,,2.0,2.0,0.0,1.1970281600952148,1.1970281600952148,0.0,216.47946166992188,216.47946166992188,0.0,,217.72999572753906,217.72999572753906,0.0,,216.47946166992188,216.47946166992188,0.0,,219.127197265625,219.127197265625,0.0,,1.0
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.9662429690361023,0.9662429690361023,0.0,263.4790344238281,263.4790344238281,0.0,,2.0,2.0,0.0,0.8140502572059631,0.8140502572059631,0.0,262.61431884765625,262.61431884765625,0.0,,263.4790344238281,263.4790344238281,0.0,,262.61431884765625,262.61431884765625,0.0,,264.44549560546875,264.44549560546875,0.0,,11.0
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.172629475593567,1.172629475593567,0.0,232.49673461914062,232.49673461914062,0.0,,2.0,2.0,0.0,1.6135865449905396,1.6135865449905396,0.0,230.83026123046875,230.83026123046875,0.0,,232.49673461914062,232.49673461914062,0.0,,230.83026123046875,230.83026123046875,0.0,,233.6614227294922,233.6614227294922,0.0,,4.0
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.2494679689407349,1.2494679689407349,0.0,236.79669189453125,236.79669189453125,0.0,,2.0,2.0,0.0,1.0824272632598877,1.0824272632598877,0.0,235.66368103027344,235.66368103027344,0.0,,236.79669189453125,236.79669189453125,0.0,,235.66368103027344,235.66368103027344,0.0,,238.04481506347656,238.04481506347656,0.0,,5.0
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.9468917846679688,0.9468917846679688,0.0,227.87818908691406,227.87818908691406,0.0,,2.0,2.0,0.0,1.3471732139587402,1.3471732139587402,0.0,226.4801025390625,226.4801025390625,0.0,,227.87818908691406,227.87818908691406,0.0,,226.4801025390625,226.4801025390625,0.0,,228.8280792236328,228.8280792236328,0.0,,3.0
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.3691306114196777,2.3691306114196777,0.0,222.11131286621094,222.11131286621094,0.0,,2.0,2.0,0.0,0.9305686354637146,0.9305686354637146,0.0,221.12997436523438,221.12997436523438,0.0,,222.11131286621094,222.11131286621094,0.0,,221.12997436523438,221.12997436523438,0.0,,224.47793579101562,224.47793579101562,0.0,,2.0
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.650259017944336,1.650259017944336,0.0,249.82864379882812,249.82864379882812,0.0,,2.0,2.0,0.0,1.4161689281463623,1.4161689281463623,0.0,248.3620147705078,248.3620147705078,0.0,,249.82864379882812,249.82864379882812,0.0,,248.3620147705078,248.3620147705078,0.0,,251.47882080078125,251.47882080078125,0.0,,8.0
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0534319877624512,1.0534319877624512,0.0,283.01312255859375,283.01312255859375,0.0,,2.0,2.0,0.0,1.1306649446487427,1.1306649446487427,0.0,281.83160400390625,281.83160400390625,0.0,,283.01312255859375,283.01312255859375,0.0,,281.83160400390625,281.83160400390625,0.0,,284.06280517578125,284.06280517578125,0.0,,15.0
