ImageFile,targ_side,correctAnswer,n,buttonBox_10.corr_mean,buttonBox_10.corr_raw,buttonBox_10.corr_std,buttonBox_10.keys_mean,buttonBox_10.keys_raw,buttonBox_10.keys_std,buttonBox_10.rt_mean,buttonBox_10.rt_raw,buttonBox_10.rt_std,buttonBox_10.started_mean,buttonBox_10.started_raw,buttonBox_10.started_std,buttonBox_10.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_mean,buttonBox_9.started_raw,buttonBox_9.started_std,buttonBox_9.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,2.636385202407837,2.636385202407837,0.0,148.10585021972656,148.10585021972656,0.0,,2.0,2.0,0.0,15.902708053588867,15.902708053588867,0.0,132.1527557373047,132.1527557373047,0.0,,148.10585021972656,148.10585021972656,0.0,,132.1527557373047,132.1527557373047,0.0,,150.73666381835938,150.73666381835938,0.0,,0.0
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6366751790046692,0.6366751790046692,0.0,205.52142333984375,205.52142333984375,0.0,,2.0,2.0,0.0,1.5480427742004395,1.5480427742004395,0.0,203.9235076904297,203.9235076904297,0.0,,205.52142333984375,205.52142333984375,0.0,,203.9235076904297,203.9235076904297,0.0,,206.15499877929688,206.15499877929688,0.0,,10.0
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.1677720546722412,1.1677720546722412,0.0,186.82321166992188,186.82321166992188,0.0,,2.0,2.0,0.0,1.0804784297943115,1.0804784297943115,0.0,185.6893768310547,185.6893768310547,0.0,,186.82321166992188,186.82321166992188,0.0,,185.6893768310547,185.6893768310547,0.0,,187.98785400390625,187.98785400390625,0.0,,5.0
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7170355916023254,0.7170355916023254,0.0,201.20664978027344,201.20664978027344,0.0,,2.0,2.0,0.0,0.6637319326400757,0.6637319326400757,0.0,200.48980712890625,200.48980712890625,0.0,,201.20664978027344,201.20664978027344,0.0,,200.48980712890625,200.48980712890625,0.0,,201.92129516601562,201.92129516601562,0.0,,9.0
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.8831508755683899,0.8831508755683899,0.0,197.60699462890625,197.60699462890625,0.0,,2.0,2.0,0.0,0.9490782022476196,0.9490782022476196,0.0,196.606201171875,196.606201171875,0.0,,197.60699462890625,197.60699462890625,0.0,,196.606201171875,196.606201171875,0.0,,198.4882049560547,198.4882049560547,0.0,,8.0
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0339009761810303,1.0339009761810303,0.0,212.82188415527344,212.82188415527344,0.0,,2.0,2.0,0.0,0.7657224535942078,0.7657224535942078,0.0,212.0072021484375,212.0072021484375,0.0,,212.82188415527344,212.82188415527344,0.0,,212.0072021484375,212.0072021484375,0.0,,213.85499572753906,213.85499572753906,0.0,,12.0
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,6.968694686889648,6.968694686889648,0.0,176.720458984375,176.720458984375,0.0,,2.0,2.0,0.0,1.4145985841751099,1.4145985841751099,0.0,175.25379943847656,175.25379943847656,0.0,,176.720458984375,176.720458984375,0.0,181.72084434502176,175.25379943847656,175.25379943847656,0.0,,183.6896209716797,183.6896209716797,0.0,,4.0
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7649997472763062,0.7649997472763062,0.0,193.84010314941406,193.84010314941406,0.0,,2.0,2.0,0.0,0.582440197467804,0.582440197467804,0.0,193.20628356933594,193.20628356933594,0.0,,193.84010314941406,193.84010314941406,0.0,,193.20628356933594,193.20628356933594,0.0,,194.6044464111328,194.6044464111328,0.0,,7.0
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7834696769714355,0.7834696769714355,0.0,222.73861694335938,222.73861694335938,0.0,,2.0,2.0,0.0,0.3970642685890198,0.3970642685890198,0.0,222.29037475585938,222.29037475585938,0.0,,222.73861694335938,222.73861694335938,0.0,,222.29037475585938,222.29037475585938,0.0,,223.5220489501953,223.5220489501953,0.0,,15.0
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,1,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.1048882007598877,2.1048882007598877,0.0,163.85589599609375,163.85589599609375,0.0,,2.0,2.0,0.0,2.499903917312622,2.499903917312622,0.0,161.30360412597656,161.30360412597656,0.0,,163.85589599609375,163.85589599609375,0.0,,161.30360412597656,161.30360412597656,0.0,,165.95310974121094,165.95310974121094,0.0,,2.0
