ImageFile,targ_side,correctAnswer,n,buttonBox_10.corr_mean,buttonBox_10.corr_raw,buttonBox_10.corr_std,buttonBox_10.keys_mean,buttonBox_10.keys_raw,buttonBox_10.keys_std,buttonBox_10.rt_mean,buttonBox_10.rt_raw,buttonBox_10.rt_std,buttonBox_10.started_mean,buttonBox_10.started_raw,buttonBox_10.started_std,buttonBox_10.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_mean,buttonBox_9.started_raw,buttonBox_9.started_std,buttonBox_9.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.8223817348480225,0.8223817348480225,0.0,149.1381378173828,149.1381378173828,0.0,,2.0,2.0,0.0,0.7807160019874573,0.7807160019874573,0.0,148.3068084716797,148.3068084716797,0.0,,149.1381378173828,149.1381378173828,0.0,,148.3068084716797,148.3068084716797,0.0,,149.9544677734375,149.9544677734375,0.0,,10.0
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.3522270917892456,1.3522270917892456,0.0,121.07279968261719,121.07279968261719,0.0,,2.0,2.0,0.0,0.44720694422721863,0.44720694422721863,0.0,120.57269287109375,120.57269287109375,0.0,,121.07279968261719,121.07279968261719,0.0,,120.57269287109375,120.57269287109375,0.0,,122.4203109741211,122.4203109741211,0.0,,2.0
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.698334276676178,0.698334276676178,0.0,141.8568878173828,141.8568878173828,0.0,,2.0,2.0,0.0,0.8324893116950989,0.8324893116950989,0.0,140.9731903076172,140.9731903076172,0.0,,141.8568878173828,141.8568878173828,0.0,,140.9731903076172,140.9731903076172,0.0,,142.55467224121094,142.55467224121094,0.0,,8.0
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7496326565742493,0.7496326565742493,0.0,128.48695373535156,128.48695373535156,0.0,,2.0,2.0,0.0,0.613826334476471,0.613826334476471,0.0,127.82276153564453,127.82276153564453,0.0,,128.48695373535156,128.48695373535156,0.0,,127.82276153564453,127.82276153564453,0.0,,129.23736572265625,129.23736572265625,0.0,,4.0
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.8174761533737183,0.8174761533737183,0.0,117.75617980957031,117.75617980957031,0.0,,2.0,2.0,0.0,0.7330307364463806,0.7330307364463806,0.0,116.97232818603516,116.97232818603516,0.0,,117.75617980957031,117.75617980957031,0.0,,116.97232818603516,116.97232818603516,0.0,,118.57078552246094,118.57078552246094,0.0,,1.0
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6553237438201904,0.6553237438201904,0.0,165.35476684570312,165.35476684570312,0.0,,2.0,2.0,0.0,0.6306095719337463,0.6306095719337463,0.0,164.6738739013672,164.6738739013672,0.0,,165.35476684570312,165.35476684570312,0.0,,164.6738739013672,164.6738739013672,0.0,,166.0052490234375,166.0052490234375,0.0,,15.0
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.8306385278701782,0.8306385278701782,0.0,124.99043273925781,124.99043273925781,0.0,,2.0,2.0,0.0,0.5161104798316956,0.5161104798316956,0.0,124.42293548583984,124.42293548583984,0.0,,124.99043273925781,124.99043273925781,0.0,,124.42293548583984,124.42293548583984,0.0,,125.82088470458984,125.82088470458984,0.0,,3.0
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6696764826774597,0.6696764826774597,0.0,131.7397918701172,131.7397918701172,0.0,,2.0,2.0,0.0,0.4473811984062195,0.4473811984062195,0.0,131.23960876464844,131.23960876464844,0.0,,131.7397918701172,131.7397918701172,0.0,,131.23960876464844,131.23960876464844,0.0,,132.40426635742188,132.40426635742188,0.0,,5.0
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6188651919364929,0.6188651919364929,0.0,162.05722045898438,162.05722045898438,0.0,,2.0,2.0,0.0,0.4470917880535126,0.4470917880535126,0.0,161.556640625,161.556640625,0.0,,162.05722045898438,162.05722045898438,0.0,,161.556640625,161.556640625,0.0,,162.67178344726562,162.67178344726562,0.0,,14.0
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7729654908180237,0.7729654908180237,0.0,138.20457458496094,138.20457458496094,0.0,,2.0,2.0,0.0,0.5160275101661682,0.5160275101661682,0.0,137.6376953125,137.6376953125,0.0,,138.20457458496094,138.20457458496094,0.0,,137.6376953125,137.6376953125,0.0,,138.9712677001953,138.9712677001953,0.0,,7.0
Practice arrays/exp1a_trial_23_colour2_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6016939282417297,0.6016939282417297,0.0,158.95509338378906,158.95509338378906,0.0,,2.0,2.0,0.0,0.5805435180664062,0.5805435180664062,0.0,158.32371520996094,158.32371520996094,0.0,,158.95509338378906,158.95509338378906,0.0,,158.32371520996094,158.32371520996094,0.0,,159.55506896972656,159.55506896972656,0.0,,13.0
Practice arrays/exp1a_trial_25_colour3_distractors1_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7209141850471497,0.7209141850471497,0.0,145.58795166015625,145.58795166015625,0.0,,2.0,2.0,0.0,0.9805907607078552,0.9805907607078552,0.0,144.55685424804688,144.55685424804688,0.0,,145.58795166015625,145.58795166015625,0.0,,144.55685424804688,144.55685424804688,0.0,,146.3046417236328,146.3046417236328,0.0,,9.0
