ImageFile,targ_side,colour,distNo,correctAnswer,targetType,n,breakMessage.started_mean,breakMessage.started_raw,breakMessage.stopped_raw,buttonBox_12.corr_mean,buttonBox_12.corr_raw,buttonBox_12.corr_std,buttonBox_12.keys_mean,buttonBox_12.keys_raw,buttonBox_12.keys_std,buttonBox_12.rt_mean,buttonBox_12.rt_raw,buttonBox_12.rt_std,buttonBox_12.started_mean,buttonBox_12.started_raw,buttonBox_12.started_std,buttonBox_12.stopped_raw,buttonBox_13.keys_raw,buttonBox_13.rt_mean,buttonBox_13.rt_raw,buttonBox_13.rt_std,buttonBox_13.started_raw,buttonBox_13.stopped_raw,buttonBox_2.keys_raw,buttonBox_2.rt_mean,buttonBox_2.rt_raw,buttonBox_2.rt_std,buttonBox_2.started_raw,buttonBox_2.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_mean,buttonBox_9.started_raw,buttonBox_9.started_std,buttonBox_9.stopped_raw,dispStimuli.started_mean,dispStimuli.started_raw,dispStimuli.started_std,dispStimuli.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_raw,targetTypeInstruction.started_raw,targetTypeInstruction.stopped_raw,order
images/exp2a_trial_298_colour3_distractors1_r.png,r,3,1,3,0,1.0,1415.0246487215977,1415.0246487215977,,1.0,1.0,0.0,3.0,3.0,0.0,0.6378087401390076,0.6378087401390076,0.0,1414.3927001953125,1414.3927001953125,0.0,,,,,,,,,,,,,,2.0,2.0,0.0,0.10768908262252808,0.10768908262252808,0.0,1414.2403564453125,1414.2403564453125,0.0,,1414.3927001953125,1414.3927001953125,0.0,,1414.2403564453125,1414.2403564453125,0.0,,,,1030.0
images/exp2a_trial_277_colour2_distractors4_l.png,l,2,4,1,0,1.0,1416.1739186186228,1416.1739186186228,,1.0,1.0,0.0,1.0,1.0,0.0,0.9543805718421936,0.9543805718421936,0.0,1415.2266845703125,1415.2266845703125,0.0,,,,,,,,,,,,,,2.0,2.0,0.0,0.1375766098499298,0.1375766098499298,0.0,1415.041015625,1415.041015625,0.0,,1415.2266845703125,1415.2266845703125,0.0,,1415.041015625,1415.041015625,0.0,,,,1031.0
images/exp2c_trial_57_colour3_distractors1_l.png,l,3,1,1,0,1.0,1417.0916712356034,1417.0916712356034,,1.0,1.0,0.0,1.0,1.0,0.0,0.7259443402290344,0.7259443402290344,0.0,1416.374267578125,1416.374267578125,0.0,,,,,,,,,,,,,,2.0,2.0,0.0,0.13709349930286407,0.13709349930286407,0.0,1416.1910400390625,1416.1910400390625,0.0,,1416.374267578125,1416.374267578125,0.0,,1416.1910400390625,1416.1910400390625,0.0,,,,1032.0
images/exp1a_trial_196_colour1_distractors31_r.png,r,1,31,3,0,1.0,1418.0238406675985,1418.0238406675985,,1.0,1.0,0.0,3.0,3.0,0.0,0.7508149743080139,0.7508149743080139,0.0,1417.2750244140625,1417.2750244140625,0.0,,,,,,,,,,,,,,2.0,2.0,0.0,0.11870626360177994,0.11870626360177994,0.0,1417.1094970703125,1417.1094970703125,0.0,,1417.2750244140625,1417.2750244140625,0.0,,1417.1094970703125,1417.1094970703125,0.0,,,,1033.0
images/exp2b_trial_49_colour1_distractors9_l.png,l,1,9,1,0,1.0,1418.8916473175982,1418.8916473175982,,1.0,1.0,0.0,1.0,1.0,0.0,0.6739385724067688,0.6739385724067688,0.0,1418.224609375,1418.224609375,0.0,,,,,,,,,,,,,,2.0,2.0,0.0,0.13788701593875885,0.13788701593875885,0.0,1418.0430908203125,1418.0430908203125,0.0,,1418.224609375,1418.224609375,0.0,,1418.0430908203125,1418.0430908203125,0.0,,,,1034.0
images/exp2a_trial_80_colour1_distractors4_l.png,l,1,4,1,0,1.0,1419.9074657406077,1419.9074657406077,,1.0,1.0,0.0,1.0,1.0,0.0,0.8211693167686462,0.8211693167686462,0.0,1419.09130859375,1419.09130859375,0.0,,,,,,,,,,,,,,2.0,2.0,0.0,0.13793039321899414,0.13793039321899414,0.0,1418.9071044921875,1418.9071044921875,0.0,,1419.09130859375,1419.09130859375,0.0,,1418.9071044921875,1418.9071044921875,0.0,,,,1035.0
images/exp1a_trial_303_colour1_distractors1_l.png,l,1,1,1,0,1.0,1421.3240003706073,1421.3240003706073,,1.0,1.0,0.0,1.0,1.0,0.0,1.2561614513397217,1.2561614513397217,0.0,1420.074951171875,1420.074951171875,0.0,,,,,,,,,,,,,,2.0,2.0,0.0,0.10436909645795822,0.10436909645795822,0.0,1419.9246826171875,1419.9246826171875,0.0,,1420.074951171875,1420.074951171875,0.0,,1419.9246826171875,1419.9246826171875,0.0,,,,1036.0
images/exp2a_trial_279_colour2_distractors19_l.png,l,2,19,1,0,1.0,1422.157569358626,1422.157569358626,,1.0,1.0,0.0,1.0,1.0,0.0,0.6319082379341125,0.6319082379341125,0.0,1421.5267333984375,1421.5267333984375,0.0,,,,,,,,,,,,,,2.0,2.0,0.0,0.1381574273109436,0.1381574273109436,0.0,1421.343505859375,1421.343505859375,0.0,,1421.5267333984375,1421.5267333984375,0.0,,1421.343505859375,1421.343505859375,0.0,,,,1037.0
images/exp2c_trial_234_colour3_distractors1_r.png,r,3,1,3,0,1.0,1422.9739490186098,1422.9739490186098,,1.0,1.0,0.0,3.0,3.0,0.0,0.6388580203056335,0.6388580203056335,0.0,1422.341796875,1422.341796875,0.0,,,,,,,,,,,,,,2.0,2.0,0.0,0.12185108661651611,0.12185108661651611,0.0,1422.175048828125,1422.175048828125,0.0,,1422.341796875,1422.341796875,0.0,,1422.175048828125,1422.175048828125,0.0,,,,1038.0
images/exp1a_trial_66_colour1_distractors9_r.png,r,1,9,3,0,1.0,1423.7574553576183,1423.7574553576183,,1.0,1.0,0.0,3.0,3.0,0.0,0.5863633155822754,0.5863633155822754,0.0,1423.1751708984375,1423.1751708984375,0.0,,,,,,,,,,,,,,2.0,2.0,0.0,0.13893447816371918,0.13893447816371918,0.0,1422.9910888671875,1422.9910888671875,0.0,,1423.1751708984375,1423.1751708984375,0.0,,1422.9910888671875,1422.9910888671875,0.0,,,,1039.0
