ImageFile,targ_side,correctAnswer,n,buttonBox_10.corr_mean,buttonBox_10.corr_raw,buttonBox_10.corr_std,buttonBox_10.keys_mean,buttonBox_10.keys_raw,buttonBox_10.keys_std,buttonBox_10.rt_mean,buttonBox_10.rt_raw,buttonBox_10.rt_std,buttonBox_10.started_mean,buttonBox_10.started_raw,buttonBox_10.started_std,buttonBox_10.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_mean,buttonBox_9.started_raw,buttonBox_9.started_std,buttonBox_9.stopped_raw,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.940324068069458,0.940324068069458,0.0,186.527587890625,186.527587890625,0.0,,2.0,2.0,0.0,0.2807106673717499,0.2807106673717499,0.0,186.1958770751953,186.1958770751953,0.0,,186.527587890625,186.527587890625,0.0,,186.1958770751953,186.1958770751953,0.0,,187.46070861816406,187.46070861816406,0.0,,12.0
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.9856564402580261,0.9856564402580261,0.0,155.77862548828125,155.77862548828125,0.0,,2.0,2.0,0.0,0.6808685660362244,0.6808685660362244,0.0,155.04513549804688,155.04513549804688,0.0,,155.77862548828125,155.77862548828125,0.0,,155.04513549804688,155.04513549804688,0.0,,156.75961303710938,156.75961303710938,0.0,,3.0
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.6869097352027893,0.6869097352027893,0.0,177.17916870117188,177.17916870117188,0.0,,2.0,2.0,0.0,0.3139311671257019,0.3139311671257019,0.0,176.81192016601562,176.81192016601562,0.0,,177.17916870117188,177.17916870117188,0.0,,176.81192016601562,176.81192016601562,0.0,,177.8603057861328,177.8603057861328,0.0,,9.0
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.7847796678543091,0.7847796678543091,0.0,162.64317321777344,162.64317321777344,0.0,,2.0,2.0,0.0,0.4139414429664612,0.4139414429664612,0.0,162.1786346435547,162.1786346435547,0.0,,162.64317321777344,162.64317321777344,0.0,,162.1786346435547,162.1786346435547,0.0,,163.4266357421875,163.4266357421875,0.0,,5.0
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.2390142679214478,1.2390142679214478,0.0,139.24252319335938,139.24252319335938,0.0,,2.0,2.0,0.0,10.304282188415527,10.304282188415527,0.0,128.89404296875,128.89404296875,0.0,,139.24252319335938,139.24252319335938,0.0,,128.89404296875,128.89404296875,0.0,,140.47523498535156,140.47523498535156,0.0,,0.0
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.9706540107727051,0.9706540107727051,0.0,170.7289276123047,170.7289276123047,0.0,,2.0,2.0,0.0,0.41346389055252075,0.41346389055252075,0.0,170.26193237304688,170.26193237304688,0.0,,170.7289276123047,170.7289276123047,0.0,,170.26193237304688,170.26193237304688,0.0,,171.69346618652344,171.69346618652344,0.0,,7.0
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,3,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.8489627242088318,0.8489627242088318,0.0,183.345947265625,183.345947265625,0.0,,2.0,2.0,0.0,0.3491562306880951,0.3491562306880951,0.0,182.94544982910156,182.94544982910156,0.0,,183.345947265625,183.345947265625,0.0,,182.94544982910156,182.94544982910156,0.0,,184.1938018798828,184.1938018798828,0.0,,11.0
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9700720310211182,0.9700720310211182,0.0,159.21153259277344,159.21153259277344,0.0,,2.0,2.0,0.0,0.39710938930511475,0.39710938930511475,0.0,158.76153564453125,158.76153564453125,0.0,,159.21153259277344,159.21153259277344,0.0,,158.76153564453125,158.76153564453125,0.0,,160.1763153076172,160.1763153076172,0.0,,4.0
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.4494104385375977,1.4494104385375977,0.0,151.59507751464844,151.59507751464844,0.0,,2.0,2.0,0.0,0.7997959852218628,0.7997959852218628,0.0,150.74481201171875,150.74481201171875,0.0,,151.59507751464844,151.59507751464844,0.0,,150.74481201171875,150.74481201171875,0.0,,153.04287719726562,153.04287719726562,0.0,,2.0
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7882428169250488,0.7882428169250488,0.0,189.8289031982422,189.8289031982422,0.0,,2.0,2.0,0.0,0.31370052695274353,0.31370052695274353,0.0,189.4622039794922,189.4622039794922,0.0,,189.8289031982422,189.8289031982422,0.0,,189.4622039794922,189.4622039794922,0.0,,190.610595703125,190.610595703125,0.0,,13.0
